m,dm,mu,t,dt,df,k,m2,dm2,dmu,susc,rsw,rsw_check,growth_speed,dphi,drive
0.19349126213592233,0.014575492799294067,-6.200000000000005,133315.74972941747,1179.2333901683296,0.0,1.0,0.05910805825242718,0.007829076198054829,1.5,0.021669189729474972,40,True,0.0012001582733078566,0.7233230300210122,1.5
0.20168833333333333,0.024071438673026423,-6.150000000000002,114956.47924166665,1998.5673309661586,0.0,1.0,0.05748199999999999,0.010639084108449687,1.5,0.016803816197222217,40,True,0.0013918310742941323,0.7731013914786585,1.5
0.1492706666666667,0.020675008201270568,-6.099999999999998,95213.45083266667,1870.074032519987,0.0,1.0,0.034678999999999995,0.007850776290044307,1.5,0.012397268072888875,40,True,0.001680434839833636,0.822868442239248,1.5
0.14253857142857143,0.018352615766695758,-6.050000000000002,77304.73568285714,1662.497133691946,0.0,1.0,0.029411071428571422,0.006165213306627204,1.5,0.009093827083673463,40,True,0.0020697308979413676,0.8726236079328711,1.5
0.07992607142857143,0.01122034295917483,-6.0,60188.72266321429,1468.262614935272,0.0,1.0,0.009786785714285715,0.0024295440736291913,1.5,0.0033986088202806125,40,True,0.002658305292426278,0.9223662853195251,1.5
0.0940596296296296,0.011774539973611099,-5.949999999999999,48903.28582999999,1136.3554885574033,0.0,1.0,0.012451481481481484,0.0026918806220013673,1.5,0.003604267555418388,40,True,0.003271763794281633,0.9720958408690017,1.5
0.06917599999999999,0.010221662198745523,-5.900000000000001,40062.025084,1231.269991588032,0.0,1.0,0.006771000000000002,0.0019151013302859871,1.5,0.001985681024000004,40,True,0.003993807094487116,1.0218116092742393,1.5
0.9815407142857142,0.0002652105327427592,-6.700000000000002,444041.8496677679,1359.2702936069722,0.0,1.0,0.9634302678571428,0.0005205899296339223,2.0,8.094056632712565e-06,40,True,0.00036032639743238616,0.19872006343961265,2.0
0.9766044642857141,0.0003984561551561434,-6.650000000000001,364078.58484776784,1127.8979176144437,0.0,1.0,0.9537739285714286,0.0007769239348023953,2.0,1.7648908641976213e-05,40,True,0.00043946556226837893,0.2485823729535202,2.0
0.9667844444444446,0.0005760949562689415,-6.6,304079.26823879627,897.1918969591661,0.0,1.0,0.9347074074074074,0.0011117752898365813,2.0,3.5245387654092575e-05,40,True,0.0005261785879935442,0.2984376433639718,2.0
0.9560691964285714,0.0006963520285441429,-6.549999999999998,259146.63419419643,858.298453109343,0.0,1.0,0.9141218750000001,0.0013288934475360612,2.0,5.356664042588388e-05,40,True,0.0006174110672805458,0.3482855159114316,2.0
0.9372970312500001,0.0010204313353815299,-6.5,223255.46692929685,698.2571032239706,0.0,1.0,0.878658515625,0.0019094986681081857,2.0,0.00013279083493633603,40,True,0.000716667780640152,0.39812561366669375,2.0
0.909459140625,0.0013815313294720435,-6.450000000000002,191610.36444078124,690.2125984677425,0.0,1.0,0.8273580468749999,0.0024925607130421522,2.0,0.00024211840863641587,40,True,0.0008350278987619656,0.4479575406227374,2.0
0.870771328125,0.0019457200923550051,-6.400000000000001,165652.84592593752,744.8461180318038,0.0,1.0,0.758723359375,0.003366463429858345,2.0,0.0004806534904235882,40,True,0.0009658753467570073,0.4977808807424331,2.0
0.8229789763779528,0.002535737743181518,-6.3500000000000005,143132.1061783464,910.1308987975561,0.0,1.0,0.6781044881889764,0.004146369279150542,2.0,0.0008100926288734378,40,True,0.0011178484287839357,0.5475951969601236,2.0
0.7543320312499999,0.0031362400679431158,-6.299999999999998,122595.71094984375,893.8478673091508,0.0,1.0,0.570265625,0.00470784313331368,2.0,0.001248811630249147,40,True,0.0013051027540878575,0.5974000301349881,2.0
0.6883363779527559,0.003984689639975148,-6.25,103315.66956952754,1062.1384321130392,0.0,1.0,0.47580637795275593,0.0054236863005459966,2.0,0.0019994087396366655,40,True,0.0015486518227743377,0.6471948979539941,2.0
0.6088932031250001,0.004734533349764204,-6.200000000000002,81269.76113382813,939.5673777867859,0.0,1.0,0.373598125,0.005781846186273669,2.0,0.0028471921881774165,40,True,0.0019687519412850936,0.6969792937822457,2.0
0.5335388976377953,0.0047576322086018055,-6.1499999999999995,65156.88281157482,784.9538475737568,0.0,1.0,0.28751590551181105,0.005085315288945283,2.0,0.0028521502192572767,40,True,0.0024556116421759937,0.7467526854583348,2.0
0.47340157480314954,0.004712850644531955,-6.1000000000000005,52182.759318267716,660.8333010188067,0.0,1.0,0.22690700787401574,0.004459813561048498,2.0,0.0027979568479137573,40,True,0.0030661467904398165,0.7965145140323187,2.0
0.435015625,0.012263852166997056,-6.05,38312.5157775,1335.6344662885151,0.0,1.0,0.191494375,0.010626723270790405,2.0,0.002255781005859353,40,True,0.00417618098819718,0.8462641924438699,2.0
0.36467602564102564,0.006084796255081917,-6.0,31434.523535512817,385.3055704184646,0.0,1.0,0.13583987179487178,0.0045853943895894315,2.0,0.002851268117537803,40,True,0.005089945130526369,0.8960011041379444,2.0
0.34868187500000003,0.006836438909621886,-5.950000000000001,26073.564426125,301.8247671568427,0.0,1.0,0.125271625,0.005025734128135007,2.0,0.0036925750464843476,40,True,0.006136483581035985,0.9457246016153898,2.0
0.29212,0.006135261599253049,-5.899999999999998,20592.325526582274,261.86982878038407,0.0,1.0,0.08826999999999999,0.0038843012836529043,2.0,0.0029359055999999967,40,True,0.007769884940555101,0.9954340049157187,2.0
0.25158890624999997,0.005428860332498999,-5.8500000000000005,16765.183896406248,211.45005908568825,0.0,1.0,0.0651534375,0.002884008524533319,2.0,0.0018564597519287185,40,True,0.009543587531676124,1.0451286000292184,2.0
0.23452078125,0.00831054561493355,-5.799999999999999,13798.485590625,285.77402949408327,0.0,1.0,0.05935125,0.00507050022138247,2.0,0.004351253161889647,40,True,0.011595475383813683,1.0948076372355862,2.0
0.205151875,0.006556186138320628,-5.75,11036.68273953125,177.5572693007422,0.0,1.0,0.0447953125,0.002930682302531364,2.0,0.0027080206839843676,40,True,0.014497109663840489,1.144470329365987,2.0
0.18023142857142857,0.0065629528780204085,-5.699999999999999,8751.006483174604,136.32393086192855,0.0,1.0,0.03515428571428573,0.0026463815610820196,2.0,0.002670917869387772,40,True,0.018283611183196928,1.19411584998564,2.0
0.16469812499999997,0.005951683080592874,-5.6499999999999995,7559.542072343749,138.50203728619067,0.0,1.0,0.029356874999999998,0.0022961168573850626,2.0,0.0022314026214843817,40,True,0.021165303198106795,1.2437433314937119,2.0
0.127358125,0.004640697368630312,-5.6000000000000005,5995.53358234375,97.24481739491202,0.0,1.0,0.0175765625,0.0012005288231838247,2.0,0.0013564704964843764,40,True,0.026686532199766855,1.2933518631374206,2.0
0.12755904761904763,0.004079918850245946,-5.550000000000001,5079.463991111112,112.79977395135376,0.0,1.0,0.01730333333333333,0.0010323091897221702,2.0,0.0010320227038548707,40,True,0.0314993866045698,1.3429404889370864,2.0
0.10917064516129031,0.005442015497432693,-5.5,4155.291231774194,90.58366582057383,0.0,1.0,0.013724193548387097,0.0016251935335818797,2.0,0.0018059637834547376,40,True,0.03850512300474411,1.3925082055188647,2.0
0.0996590625,0.004990834718405924,-5.450000000000001,3668.0138965625,86.03776513439047,0.0,1.0,0.01150109375,0.001244659068295034,2.0,0.001569165011621092,40,True,0.04362033637602761,1.4420539598518423,2.0
0.08811716666666668,0.006458434585355378,-5.399999999999998,3325.0038253333328,120.7350711285001,0.0,1.0,0.010225000000000001,0.0019762135297720835,2.0,0.0024603649386388884,40,True,0.0481202453906831,1.4915766468861713,2.0
